,t,strain*1e+21
1032,-0.5631,0.1446
1033,-0.5629,0.1495
1034,-0.5626,0.1543
1035,-0.5624,0.1590
1036,-0.5621,0.1634
1037,-0.5619,0.1676
1038,-0.5617,0.1717
1039,-0.5614,0.1755
1040,-0.5612,0.1791
1041,-0.5609,0.1825
1042,-0.5607,0.1857
1043,-0.5604,0.1887
1044,-0.5602,0.1914
1045,-0.5599,0.1939
1046,-0.5597,0.1962
1047,-0.5595,0.1983
1048,-0.5592,0.2001
1049,-0.5590,0.2016
1050,-0.5587,0.2030
1051,-0.5585,0.2040
1052,-0.5582,0.2049
1053,-0.5580,0.2055
1054,-0.5578,0.2058
1055,-0.5575,0.2059
1056,-0.5573,0.2057
1057,-0.5570,0.2053
1058,-0.5568,0.2047
1059,-0.5565,0.2038
1060,-0.5563,0.2026
1061,-0.5560,0.2013
1062,-0.5558,0.1996
1063,-0.5556,0.1977
1064,-0.5553,0.1956
1065,-0.5551,0.1933
1066,-0.5548,0.1907
1067,-0.5546,0.1879
1068,-0.5543,0.1848
1069,-0.5541,0.1816
1070,-0.5538,0.1781
1071,-0.5536,0.1744
1072,-0.5534,0.1704
1073,-0.5531,0.1663
1074,-0.5529,0.1620
1075,-0.5526,0.1575
1076,-0.5524,0.1527
1077,-0.5521,0.1478
1078,-0.5519,0.1427
1079,-0.5516,0.1375
1080,-0.5514,0.1320
1081,-0.5512,0.1264
1082,-0.5509,0.1207
1083,-0.5507,0.1148
1084,-0.5504,0.1088
1085,-0.5502,0.1026
1086,-0.5499,0.0963
1087,-0.5497,0.0899
1088,-0.5494,0.0833
1089,-0.5492,0.0767
1090,-0.5490,0.0700
1091,-0.5487,0.0631
1092,-0.5485,0.0562
1093,-0.5482,0.0493
1094,-0.5480,0.0422
1095,-0.5477,0.0352
1096,-0.5475,0.0280
1097,-0.5473,0.0209
1098,-0.5470,0.0137
1099,-0.5468,0.0065
1100,-0.5465,-0.0008
1101,-0.5463,-0.0080
1102,-0.5460,-0.0152
1103,-0.5458,-0.0224
1104,-0.5455,-0.0296
1105,-0.5453,-0.0367
1106,-0.5451,-0.0438
1107,-0.5448,-0.0509
1108,-0.5446,-0.0579
1109,-0.5443,-0.0648
1110,-0.5441,-0.0716
1111,-0.5438,-0.0784
1112,-0.5436,-0.0851
1113,-0.5433,-0.0916
1114,-0.5431,-0.0981
1115,-0.5429,-0.1044
1116,-0.5426,-0.1106
1117,-0.5424,-0.1167
1118,-0.5421,-0.1226
1119,-0.5419,-0.1284
1120,-0.5416,-0.1340
1121,-0.5414,-0.1395
1122,-0.5411,-0.1448
1123,-0.5409,-0.1499
1124,-0.5407,-0.1549
1125,-0.5404,-0.1596
1126,-0.5402,-0.1642
1127,-0.5399,-0.1685
1128,-0.5397,-0.1727
1129,-0.5394,-0.1766
1130,-0.5392,-0.1803
1131,-0.5390,-0.1838
1132,-0.5387,-0.1871
1133,-0.5385,-0.1901
1134,-0.5382,-0.1929
1135,-0.5380,-0.1955
1136,-0.5377,-0.1978
1137,-0.5375,-0.1999
1138,-0.5372,-0.2018
1139,-0.5370,-0.2034
1140,-0.5368,-0.2047
1141,-0.5365,-0.2058
1142,-0.5363,-0.2067
1143,-0.5360,-0.2072
1144,-0.5358,-0.2076
1145,-0.5355,-0.2076
1146,-0.5353,-0.2074
1147,-0.5350,-0.2070
1148,-0.5348,-0.2063
1149,-0.5346,-0.2053
1150,-0.5343,-0.2041
1151,-0.5341,-0.2027
1152,-0.5338,-0.2010
1153,-0.5336,-0.1990
1154,-0.5333,-0.1968
1155,-0.5331,-0.1943
1156,-0.5328,-0.1916
1157,-0.5326,-0.1887
1158,-0.5324,-0.1855
1159,-0.5321,-0.1821
1160,-0.5319,-0.1785
1161,-0.5316,-0.1746
1162,-0.5314,-0.1705
1163,-0.5311,-0.1663
1164,-0.5309,-0.1618
1165,-0.5307,-0.1571
1166,-0.5304,-0.1522
1167,-0.5302,-0.1471
1168,-0.5299,-0.1418
1169,-0.5297,-0.1364
1170,-0.5294,-0.1307
1171,-0.5292,-0.1250
1172,-0.5289,-0.1190
1173,-0.5287,-0.1129
1174,-0.5285,-0.1067
1175,-0.5282,-0.1003
1176,-0.5280,-0.0938
1177,-0.5277,-0.0872
1178,-0.5275,-0.0805
1179,-0.5272,-0.0736
1180,-0.5270,-0.0667
1181,-0.5267,-0.0597
1182,-0.5265,-0.0526
1183,-0.5263,-0.0454
1184,-0.5260,-0.0382
1185,-0.5258,-0.0310
1186,-0.5255,-0.0237
1187,-0.5253,-0.0163
1188,-0.5250,-0.0089
1189,-0.5248,-0.0016
1190,-0.5245,0.0058
1191,-0.5243,0.0132
1192,-0.5241,0.0206
1193,-0.5238,0.0279
1194,-0.5236,0.0352
1195,-0.5233,0.0425
1196,-0.5231,0.0497
1197,-0.5228,0.0568
1198,-0.5226,0.0639
1199,-0.5224,0.0709
1200,-0.5221,0.0779
1201,-0.5219,0.0847
1202,-0.5216,0.0914
1203,-0.5214,0.0980
1204,-0.5211,0.1045
1205,-0.5209,0.1109
1206,-0.5206,0.1171
1207,-0.5204,0.1232
1208,-0.5202,0.1291
1209,-0.5199,0.1348
1210,-0.5197,0.1404
1211,-0.5194,0.1459
1212,-0.5192,0.1511
1213,-0.5189,0.1561
1214,-0.5187,0.1610
1215,-0.5184,0.1656
1216,-0.5182,0.1701
1217,-0.5180,0.1743
1218,-0.5177,0.1783
1219,-0.5175,0.1821
1220,-0.5172,0.1857
1221,-0.5170,0.1890
1222,-0.5167,0.1921
1223,-0.5165,0.1949
1224,-0.5162,0.1975
1225,-0.5160,0.1999
1226,-0.5158,0.2020
1227,-0.5155,0.2038
1228,-0.5153,0.2054
1229,-0.5150,0.2067
1230,-0.5148,0.2078
1231,-0.5145,0.2086
1232,-0.5143,0.2091
1233,-0.5140,0.2094
1234,-0.5138,0.2094
1235,-0.5136,0.2091
1236,-0.5133,0.2086
1237,-0.5131,0.2078
1238,-0.5128,0.2068
1239,-0.5126,0.2054
1240,-0.5123,0.2039
1241,-0.5121,0.2020
1242,-0.5119,0.1999
1243,-0.5116,0.1976
1244,-0.5114,0.1949
1245,-0.5111,0.1921
1246,-0.5109,0.1890
1247,-0.5106,0.1856
1248,-0.5104,0.1821
1249,-0.5101,0.1782
1250,-0.5099,0.1742
1251,-0.5097,0.1699
1252,-0.5094,0.1654
1253,-0.5092,0.1607
1254,-0.5089,0.1558
1255,-0.5087,0.1507
1256,-0.5084,0.1454
1257,-0.5082,0.1399
1258,-0.5079,0.1343
1259,-0.5077,0.1284
1260,-0.5075,0.1224
1261,-0.5072,0.1162
1262,-0.5070,0.1099
1263,-0.5067,0.1034
1264,-0.5065,0.0968
1265,-0.5062,0.0901
1266,-0.5060,0.0833
1267,-0.5057,0.0763
1268,-0.5055,0.0693
1269,-0.5053,0.0621
1270,-0.5050,0.0549
1271,-0.5048,0.0476
1272,-0.5045,0.0402
1273,-0.5043,0.0328
1274,-0.5040,0.0254
1275,-0.5038,0.0179
1276,-0.5036,0.0103
1277,-0.5033,0.0028
1278,-0.5031,-0.0048
1279,-0.5028,-0.0123
1280,-0.5026,-0.0198
1281,-0.5023,-0.0273
1282,-0.5021,-0.0348
1283,-0.5018,-0.0422
1284,-0.5016,-0.0496
1285,-0.5014,-0.0569
1286,-0.5011,-0.0642
1287,-0.5009,-0.0714
1288,-0.5006,-0.0784
1289,-0.5004,-0.0854
1290,-0.5001,-0.0923
1291,-0.4999,-0.0990
1292,-0.4996,-0.1057
1293,-0.4994,-0.1122
1294,-0.4992,-0.1185
1295,-0.4989,-0.1247
1296,-0.4987,-0.1308
1297,-0.4984,-0.1366
1298,-0.4982,-0.1423
1299,-0.4979,-0.1479
1300,-0.4977,-0.1532
1301,-0.4974,-0.1583
1302,-0.4972,-0.1632
1303,-0.4970,-0.1680
1304,-0.4967,-0.1725
1305,-0.4965,-0.1767
1306,-0.4962,-0.1808
1307,-0.4960,-0.1846
1308,-0.4957,-0.1882
1309,-0.4955,-0.1915
1310,-0.4953,-0.1946
1311,-0.4950,-0.1975
1312,-0.4948,-0.2000
1313,-0.4945,-0.2024
1314,-0.4943,-0.2044
1315,-0.4940,-0.2062
1316,-0.4938,-0.2077
1317,-0.4935,-0.2090
1318,-0.4933,-0.2100
1319,-0.4931,-0.2107
1320,-0.4928,-0.2111
1321,-0.4926,-0.2113
1322,-0.4923,-0.2112
1323,-0.4921,-0.2108
1324,-0.4918,-0.2101
1325,-0.4916,-0.2092
1326,-0.4913,-0.2080
1327,-0.4911,-0.2065
1328,-0.4909,-0.2047
1329,-0.4906,-0.2027
1330,-0.4904,-0.2004
1331,-0.4901,-0.1979
1332,-0.4899,-0.1950
1333,-0.4896,-0.1920
1334,-0.4894,-0.1887
1335,-0.4891,-0.1851
1336,-0.4889,-0.1813
1337,-0.4887,-0.1772
1338,-0.4884,-0.1729
1339,-0.4882,-0.1684
1340,-0.4879,-0.1637
1341,-0.4877,-0.1587
1342,-0.4874,-0.1536
1343,-0.4872,-0.1482
1344,-0.4869,-0.1426
1345,-0.4867,-0.1369
1346,-0.4865,-0.1309
1347,-0.4862,-0.1248
1348,-0.4860,-0.1185
1349,-0.4857,-0.1121
1350,-0.4855,-0.1055
1351,-0.4852,-0.0988
1352,-0.4850,-0.0919
1353,-0.4848,-0.0849
1354,-0.4845,-0.0778
1355,-0.4843,-0.0706
1356,-0.4840,-0.0633
1357,-0.4838,-0.0560
1358,-0.4835,-0.0485
1359,-0.4833,-0.0410
1360,-0.4830,-0.0334
1361,-0.4828,-0.0257
1362,-0.4826,-0.0181
1363,-0.4823,-0.0104
1364,-0.4821,-0.0027
1365,-0.4818,0.0051
1366,-0.4816,0.0128
1367,-0.4813,0.0205
1368,-0.4811,0.0282
1369,-0.4808,0.0358
1370,-0.4806,0.0434
1371,-0.4804,0.0510
1372,-0.4801,0.0584
1373,-0.4799,0.0658
1374,-0.4796,0.0732
1375,-0.4794,0.0804
1376,-0.4791,0.0875
1377,-0.4789,0.0945
1378,-0.4786,0.1014
1379,-0.4784,0.1082
1380,-0.4782,0.1148
1381,-0.4779,0.1212
1382,-0.4777,0.1275
1383,-0.4774,0.1337
1384,-0.4772,0.1396
1385,-0.4769,0.1454
1386,-0.4767,0.1510
1387,-0.4765,0.1564
1388,-0.4762,0.1616
1389,-0.4760,0.1665
1390,-0.4757,0.1713
1391,-0.4755,0.1758
1392,-0.4752,0.1801
1393,-0.4750,0.1841
1394,-0.4747,0.1879
1395,-0.4745,0.1915
1396,-0.4743,0.1948
1397,-0.4740,0.1978
1398,-0.4738,0.2006
1399,-0.4735,0.2031
1400,-0.4733,0.2054
1401,-0.4730,0.2073
1402,-0.4728,0.2090
1403,-0.4725,0.2104
1404,-0.4723,0.2116
1405,-0.4721,0.2124
1406,-0.4718,0.2130
1407,-0.4716,0.2132
1408,-0.4713,0.2132
1409,-0.4711,0.2129
1410,-0.4708,0.2123
1411,-0.4706,0.2115
1412,-0.4703,0.2103
1413,-0.4701,0.2089
1414,-0.4699,0.2072
1415,-0.4696,0.2052
1416,-0.4694,0.2029
1417,-0.4691,0.2003
1418,-0.4689,0.1975
1419,-0.4686,0.1944
1420,-0.4684,0.1911
1421,-0.4682,0.1875
1422,-0.4679,0.1836
1423,-0.4677,0.1795
1424,-0.4674,0.1751
1425,-0.4672,0.1705
1426,-0.4669,0.1657
1427,-0.4667,0.1607
1428,-0.4664,0.1554
1429,-0.4662,0.1499
1430,-0.4660,0.1442
1431,-0.4657,0.1383
1432,-0.4655,0.1323
1433,-0.4652,0.1260
1434,-0.4650,0.1196
1435,-0.4647,0.1130
1436,-0.4645,0.1062
1437,-0.4642,0.0994
1438,-0.4640,0.0923
1439,-0.4638,0.0852
1440,-0.4635,0.0779
1441,-0.4633,0.0705
1442,-0.4630,0.0630
1443,-0.4628,0.0554
1444,-0.4625,0.0478
1445,-0.4623,0.0401
1446,-0.4620,0.0323
1447,-0.4618,0.0245
1448,-0.4616,0.0166
1449,-0.4613,0.0087
1450,-0.4611,0.0008
1451,-0.4608,-0.0071
1452,-0.4606,-0.0150
1453,-0.4603,-0.0229
1454,-0.4601,-0.0307
1455,-0.4599,-0.0386
1456,-0.4596,-0.0463
1457,-0.4594,-0.0540
1458,-0.4591,-0.0617
1459,-0.4589,-0.0692
1460,-0.4586,-0.0767
1461,-0.4584,-0.0840
1462,-0.4581,-0.0913
1463,-0.4579,-0.0984
1464,-0.4577,-0.1054
1465,-0.4574,-0.1123
1466,-0.4572,-0.1190
1467,-0.4569,-0.1255
1468,-0.4567,-0.1319
1469,-0.4564,-0.1381
1470,-0.4562,-0.1441
1471,-0.4559,-0.1499
1472,-0.4557,-0.1555
1473,-0.4555,-0.1609
1474,-0.4552,-0.1661
1475,-0.4550,-0.1710
1476,-0.4547,-0.1758
1477,-0.4545,-0.1803
1478,-0.4542,-0.1845
1479,-0.4540,-0.1885
1480,-0.4537,-0.1922
1481,-0.4535,-0.1957
1482,-0.4533,-0.1989
1483,-0.4530,-0.2018
1484,-0.4528,-0.2044
1485,-0.4525,-0.2068
1486,-0.4523,-0.2089
1487,-0.4520,-0.2107
1488,-0.4518,-0.2122
1489,-0.4515,-0.2134
1490,-0.4513,-0.2143
1491,-0.4511,-0.2149
1492,-0.4508,-0.2153
1493,-0.4506,-0.2153
1494,-0.4503,-0.2150
1495,-0.4501,-0.2145
1496,-0.4498,-0.2136
1497,-0.4496,-0.2124
1498,-0.4494,-0.2110
1499,-0.4491,-0.2092
1500,-0.4489,-0.2072
1501,-0.4486,-0.2049
1502,-0.4484,-0.2023
1503,-0.4481,-0.1994
1504,-0.4479,-0.1962
1505,-0.4476,-0.1928
1506,-0.4474,-0.1891
1507,-0.4472,-0.1851
1508,-0.4469,-0.1809
1509,-0.4467,-0.1764
1510,-0.4464,-0.1716
1511,-0.4462,-0.1667
1512,-0.4459,-0.1615
1513,-0.4457,-0.1560
1514,-0.4454,-0.1504
1515,-0.4452,-0.1445
1516,-0.4450,-0.1385
1517,-0.4447,-0.1322
1518,-0.4445,-0.1257
1519,-0.4442,-0.1191
1520,-0.4440,-0.1123
1521,-0.4437,-0.1054
1522,-0.4435,-0.0983
1523,-0.4432,-0.0910
1524,-0.4430,-0.0836
1525,-0.4428,-0.0761
1526,-0.4425,-0.0685
1527,-0.4423,-0.0608
1528,-0.4420,-0.0530
1529,-0.4418,-0.0452
1530,-0.4415,-0.0372
1531,-0.4413,-0.0292
1532,-0.4411,-0.0212
1533,-0.4408,-0.0131
1534,-0.4406,-0.0050
1535,-0.4403,0.0031
1536,-0.4401,0.0112
1537,-0.4398,0.0193
1538,-0.4396,0.0273
1539,-0.4393,0.0354
1540,-0.4391,0.0433
1541,-0.4389,0.0513
1542,-0.4386,0.0591
1543,-0.4384,0.0669
1544,-0.4381,0.0746
1545,-0.4379,0.0822
1546,-0.4376,0.0896
1547,-0.4374,0.0970
1548,-0.4371,0.1042
1549,-0.4369,0.1113
1550,-0.4367,0.1182
1551,-0.4364,0.1249
1552,-0.4362,0.1315
1553,-0.4359,0.1379
1554,-0.4357,0.1441
1555,-0.4354,0.1501
1556,-0.4352,0.1559
1557,-0.4349,0.1615
1558,-0.4347,0.1668
1559,-0.4345,0.1720
1560,-0.4342,0.1768
1561,-0.4340,0.1815
1562,-0.4337,0.1858
1563,-0.4335,0.1900
1564,-0.4332,0.1938
1565,-0.4330,0.1974
1566,-0.4328,0.2007
1567,-0.4325,0.2037
1568,-0.4323,0.2064
1569,-0.4320,0.2088
1570,-0.4318,0.2110
1571,-0.4315,0.2128
1572,-0.4313,0.2143
1573,-0.4310,0.2156
1574,-0.4308,0.2165
1575,-0.4306,0.2171
1576,-0.4303,0.2174
1577,-0.4301,0.2174
1578,-0.4298,0.2171
1579,-0.4296,0.2165
1580,-0.4293,0.2155
1581,-0.4291,0.2143
1582,-0.4288,0.2128
1583,-0.4286,0.2109
1584,-0.4284,0.2088
1585,-0.4281,0.2063
1586,-0.4279,0.2036
1587,-0.4276,0.2005
1588,-0.4274,0.1972
1589,-0.4271,0.1936
1590,-0.4269,0.1897
1591,-0.4266,0.1856
1592,-0.4264,0.1812
1593,-0.4262,0.1765
1594,-0.4259,0.1715
1595,-0.4257,0.1663
1596,-0.4254,0.1609
1597,-0.4252,0.1552
1598,-0.4249,0.1494
1599,-0.4247,0.1433
1600,-0.4244,0.1369
1601,-0.4242,0.1304
1602,-0.4240,0.1237
1603,-0.4237,0.1168
1604,-0.4235,0.1098
1605,-0.4232,0.1026
1606,-0.4230,0.0952
1607,-0.4227,0.0877
1608,-0.4225,0.0801
1609,-0.4223,0.0723
1610,-0.4220,0.0645
1611,-0.4218,0.0565
1612,-0.4215,0.0485
1613,-0.4213,0.0404
1614,-0.4210,0.0322
1615,-0.4208,0.0240
1616,-0.4205,0.0157
1617,-0.4203,0.0074
1618,-0.4201,-0.0009
1619,-0.4198,-0.0092
1620,-0.4196,-0.0175
1621,-0.4193,-0.0258
1622,-0.4191,-0.0340
1623,-0.4188,-0.0422
1624,-0.4186,-0.0504
1625,-0.4183,-0.0584
1626,-0.4181,-0.0664
1627,-0.4179,-0.0743
1628,-0.4176,-0.0821
1629,-0.4174,-0.0898
1630,-0.4171,-0.0973
1631,-0.4169,-0.1047
1632,-0.4166,-0.1120
1633,-0.4164,-0.1191
1634,-0.4161,-0.1260
1635,-0.4159,-0.1328
1636,-0.4157,-0.1393
1637,-0.4154,-0.1457
1638,-0.4152,-0.1518
1639,-0.4149,-0.1578
1640,-0.4147,-0.1635
1641,-0.4144,-0.1689
1642,-0.4142,-0.1742
1643,-0.4140,-0.1791
1644,-0.4137,-0.1839
1645,-0.4135,-0.1883
1646,-0.4132,-0.1925
1647,-0.4130,-0.1964
1648,-0.4127,-0.2000
1649,-0.4125,-0.2033
1650,-0.4122,-0.2063
1651,-0.4120,-0.2091
1652,-0.4118,-0.2115
1653,-0.4115,-0.2136
1654,-0.4113,-0.2154
1655,-0.4110,-0.2169
1656,-0.4108,-0.2180
1657,-0.4105,-0.2189
1658,-0.4103,-0.2194
1659,-0.4100,-0.2196
1660,-0.4098,-0.2195
1661,-0.4096,-0.2191
1662,-0.4093,-0.2183
1663,-0.4091,-0.2172
1664,-0.4088,-0.2158
1665,-0.4086,-0.2141
1666,-0.4083,-0.2121
1667,-0.4081,-0.2097
1668,-0.4078,-0.2071
1669,-0.4076,-0.2041
1670,-0.4074,-0.2008
1671,-0.4071,-0.1973
1672,-0.4069,-0.1934
1673,-0.4066,-0.1893
1674,-0.4064,-0.1849
1675,-0.4061,-0.1802
1676,-0.4059,-0.1752
1677,-0.4057,-0.1700
1678,-0.4054,-0.1645
1679,-0.4052,-0.1588
1680,-0.4049,-0.1528
1681,-0.4047,-0.1466
1682,-0.4044,-0.1402
1683,-0.4042,-0.1336
1684,-0.4039,-0.1268
1685,-0.4037,-0.1198
1686,-0.4035,-0.1126
1687,-0.4032,-0.1052
1688,-0.4030,-0.0977
1689,-0.4027,-0.0900
1690,-0.4025,-0.0822
1691,-0.4022,-0.0743
1692,-0.4020,-0.0662
1693,-0.4017,-0.0581
1694,-0.4015,-0.0498
1695,-0.4013,-0.0415
1696,-0.4010,-0.0331
1697,-0.4008,-0.0247
1698,-0.4005,-0.0162
1699,-0.4003,-0.0077
1700,-0.4000,0.0008
1701,-0.3998,0.0093
1702,-0.3995,0.0178
1703,-0.3993,0.0263
1704,-0.3991,0.0348
1705,-0.3988,0.0432
1706,-0.3986,0.0515
1707,-0.3983,0.0598
1708,-0.3981,0.0680
1709,-0.3978,0.0761
1710,-0.3976,0.0840
1711,-0.3974,0.0919
1712,-0.3971,0.0996
1713,-0.3969,0.1072
1714,-0.3966,0.1146
1715,-0.3964,0.1219
1716,-0.3961,0.1289
1717,-0.3959,0.1358
1718,-0.3956,0.1425
1719,-0.3954,0.1490
1720,-0.3952,0.1552
1721,-0.3949,0.1612
1722,-0.3947,0.1670
1723,-0.3944,0.1725
1724,-0.3942,0.1778
1725,-0.3939,0.1828
1726,-0.3937,0.1875
1727,-0.3934,0.1920
1728,-0.3932,0.1962
1729,-0.3930,0.2000
1730,-0.3927,0.2036
1731,-0.3925,0.2069
1732,-0.3922,0.2098
1733,-0.3920,0.2125
1734,-0.3917,0.2148
1735,-0.3915,0.2168
1736,-0.3912,0.2185
1737,-0.3910,0.2198
1738,-0.3908,0.2208
1739,-0.3905,0.2215
1740,-0.3903,0.2219
1741,-0.3900,0.2219
1742,-0.3898,0.2215
1743,-0.3895,0.2209
1744,-0.3893,0.2199
1745,-0.3890,0.2185
1746,-0.3888,0.2169
1747,-0.3886,0.2149
1748,-0.3883,0.2126
1749,-0.3881,0.2099
1750,-0.3878,0.2069
1751,-0.3876,0.2037
1752,-0.3873,0.2001
1753,-0.3871,0.1962
1754,-0.3869,0.1920
1755,-0.3866,0.1875
1756,-0.3864,0.1827
1757,-0.3861,0.1776
1758,-0.3859,0.1723
1759,-0.3856,0.1667
1760,-0.3854,0.1609
1761,-0.3851,0.1548
1762,-0.3849,0.1484
1763,-0.3847,0.1418
1764,-0.3844,0.1351
1765,-0.3842,0.1281
1766,-0.3839,0.1209
1767,-0.3837,0.1135
1768,-0.3834,0.1059
1769,-0.3832,0.0982
1770,-0.3829,0.0903
1771,-0.3827,0.0823
1772,-0.3825,0.0741
1773,-0.3822,0.0658
1774,-0.3820,0.0574
1775,-0.3817,0.0490
1776,-0.3815,0.0404
1777,-0.3812,0.0318
1778,-0.3810,0.0231
1779,-0.3807,0.0144
1780,-0.3805,0.0057
1781,-0.3803,-0.0031
1782,-0.3800,-0.0118
1783,-0.3798,-0.0205
1784,-0.3795,-0.0292
1785,-0.3793,-0.0379
1786,-0.3790,-0.0465
1787,-0.3788,-0.0551
1788,-0.3786,-0.0635
1789,-0.3783,-0.0719
1790,-0.3781,-0.0801
1791,-0.3778,-0.0883
1792,-0.3776,-0.0963
1793,-0.3773,-0.1042
1794,-0.3771,-0.1119
1795,-0.3768,-0.1194
1796,-0.3766,-0.1268
1797,-0.3764,-0.1339
1798,-0.3761,-0.1409
1799,-0.3759,-0.1476
1800,-0.3756,-0.1541
1801,-0.3754,-0.1604
1802,-0.3751,-0.1665
1803,-0.3749,-0.1722
1804,-0.3746,-0.1778
1805,-0.3744,-0.1830
1806,-0.3742,-0.1880
1807,-0.3739,-0.1926
1808,-0.3737,-0.1970
1809,-0.3734,-0.2011
1810,-0.3732,-0.2048
1811,-0.3729,-0.2083
1812,-0.3727,-0.2114
1813,-0.3724,-0.2142
1814,-0.3722,-0.2166
1815,-0.3720,-0.2188
1816,-0.3717,-0.2205
1817,-0.3715,-0.2220
1818,-0.3712,-0.2231
1819,-0.3710,-0.2238
1820,-0.3707,-0.2242
1821,-0.3705,-0.2243
1822,-0.3703,-0.2240
1823,-0.3700,-0.2233
1824,-0.3698,-0.2223
1825,-0.3695,-0.2209
1826,-0.3693,-0.2192
1827,-0.3690,-0.2172
1828,-0.3688,-0.2148
1829,-0.3685,-0.2121
1830,-0.3683,-0.2090
1831,-0.3681,-0.2056
1832,-0.3678,-0.2019
1833,-0.3676,-0.1979
1834,-0.3673,-0.1935
1835,-0.3671,-0.1889
1836,-0.3668,-0.1839
1837,-0.3666,-0.1787
1838,-0.3663,-0.1731
1839,-0.3661,-0.1673
1840,-0.3659,-0.1613
1841,-0.3656,-0.1549
1842,-0.3654,-0.1484
1843,-0.3651,-0.1416
1844,-0.3649,-0.1345
1845,-0.3646,-0.1273
1846,-0.3644,-0.1198
1847,-0.3641,-0.1121
1848,-0.3639,-0.1043
1849,-0.3637,-0.0963
1850,-0.3634,-0.0882
1851,-0.3632,-0.0799
1852,-0.3629,-0.0714
1853,-0.3627,-0.0629
1854,-0.3624,-0.0542
1855,-0.3622,-0.0455
1856,-0.3619,-0.0366
1857,-0.3617,-0.0278
1858,-0.3615,-0.0188
1859,-0.3612,-0.0099
1860,-0.3610,-0.0009
1861,-0.3607,0.0081
1862,-0.3605,0.0171
1863,-0.3602,0.0261
1864,-0.3600,0.0350
1865,-0.3598,0.0439
1866,-0.3595,0.0527
1867,-0.3593,0.0614
1868,-0.3590,0.0700
1869,-0.3588,0.0786
1870,-0.3585,0.0870
1871,-0.3583,0.0952
1872,-0.3580,0.1034
1873,-0.3578,0.1113
1874,-0.3576,0.1191
1875,-0.3573,0.1267
1876,-0.3571,0.1341
1877,-0.3568,0.1413
1878,-0.3566,0.1483
1879,-0.3563,0.1550
1880,-0.3561,0.1615
1881,-0.3558,0.1677
1882,-0.3556,0.1737
1883,-0.3554,0.1794
1884,-0.3551,0.1848
1885,-0.3549,0.1899
1886,-0.3546,0.1947
1887,-0.3544,0.1992
1888,-0.3541,0.2034
1889,-0.3539,0.2073
1890,-0.3536,0.2108
1891,-0.3534,0.2140
1892,-0.3532,0.2168
1893,-0.3529,0.2193
1894,-0.3527,0.2215
1895,-0.3524,0.2232
1896,-0.3522,0.2247
1897,-0.3519,0.2257
1898,-0.3517,0.2264
1899,-0.3515,0.2268
1900,-0.3512,0.2267
1901,-0.3510,0.2263
1902,-0.3507,0.2256
1903,-0.3505,0.2244
1904,-0.3502,0.2230
1905,-0.3500,0.2211
1906,-0.3497,0.2189
1907,-0.3495,0.2163
1908,-0.3493,0.2134
1909,-0.3490,0.2101
1910,-0.3488,0.2065
1911,-0.3485,0.2025
1912,-0.3483,0.1982
1913,-0.3480,0.1936
1914,-0.3478,0.1887
1915,-0.3475,0.1835
1916,-0.3473,0.1779
1917,-0.3471,0.1721
1918,-0.3468,0.1660
1919,-0.3466,0.1596
1920,-0.3463,0.1529
1921,-0.3461,0.1460
1922,-0.3458,0.1389
1923,-0.3456,0.1315
1924,-0.3453,0.1239
1925,-0.3451,0.1161
1926,-0.3449,0.1081
1927,-0.3446,0.0999
1928,-0.3444,0.0916
1929,-0.3441,0.0831
1930,-0.3439,0.0744
1931,-0.3436,0.0657
1932,-0.3434,0.0568
1933,-0.3432,0.0478
1934,-0.3429,0.0387
1935,-0.3427,0.0296
1936,-0.3424,0.0204
1937,-0.3422,0.0112
1938,-0.3419,0.0019
1939,-0.3417,-0.0073
1940,-0.3414,-0.0166
1941,-0.3412,-0.0258
1942,-0.3410,-0.0350
1943,-0.3407,-0.0441
1944,-0.3405,-0.0532
1945,-0.3402,-0.0622
1946,-0.3400,-0.0710
1947,-0.3397,-0.0798
1948,-0.3395,-0.0885
1949,-0.3392,-0.0970
1950,-0.3390,-0.1053
1951,-0.3388,-0.1135
1952,-0.3385,-0.1215
1953,-0.3383,-0.1293
1954,-0.3380,-0.1369
1955,-0.3378,-0.1442
1956,-0.3375,-0.1514
1957,-0.3373,-0.1583
1958,-0.3370,-0.1649
1959,-0.3368,-0.1712
1960,-0.3366,-0.1773
1961,-0.3363,-0.1831
1962,-0.3361,-0.1886
1963,-0.3358,-0.1937
1964,-0.3356,-0.1986
1965,-0.3353,-0.2031
1966,-0.3351,-0.2073
1967,-0.3349,-0.2111
1968,-0.3346,-0.2146
1969,-0.3344,-0.2177
1970,-0.3341,-0.2205
1971,-0.3339,-0.2229
1972,-0.3336,-0.2250
1973,-0.3334,-0.2266
1974,-0.3331,-0.2279
1975,-0.3329,-0.2288
1976,-0.3327,-0.2293
1977,-0.3324,-0.2295
1978,-0.3322,-0.2292
1979,-0.3319,-0.2286
1980,-0.3317,-0.2276
1981,-0.3314,-0.2262
1982,-0.3312,-0.2244
1983,-0.3309,-0.2222
1984,-0.3307,-0.2197
1985,-0.3305,-0.2168
1986,-0.3302,-0.2135
1987,-0.3300,-0.2099
1988,-0.3297,-0.2059
1989,-0.3295,-0.2016
1990,-0.3292,-0.1969
1991,-0.3290,-0.1919
1992,-0.3287,-0.1865
1993,-0.3285,-0.1809
1994,-0.3283,-0.1749
1995,-0.3280,-0.1686
